
Database             Time                 Version
345            6          13
346            7          11
351            6           8
352            7           9
353            8          10
354            6          13
355            7          11
356            8           9
361            7           6
362            8           7
363            9           8
364            7          11
365            8           9
366            9           7
411            3           8
412            4           9
413            5          10
414            3          13
415            4          11
416            5           9
421            4           9
422            5          10
423            6          11
424            4          14
425            5          12
426            6          10
431            5          10
432            6          11
433            7          12
434            5          15
435            6          13
436            7          11
441            3          13
442            4          14
443            5          15
444            3          18
445            4          16
446            5          14
451            4          11
452            5          12
453            6          13
454            4          16
455            5          14
456            6          12
461            5           9
462            6          10
463            7          11
464            5          14
465            6          12
466            7          10
511            4           6
512            5           7
513            6           8
514            4          11
515            5           9
516            6           7
521            5           7
522            6           8
523            7           9
524            5          12
525            6          10
526            7           8
531            6           8
532            7           9
533            8          10
534            6          13
535            7          11
536            8           9
541            4          11
542            5          12
543            6          13
544            4          16
545            5          14
546            6          12
551            5           9
552            6          10
553            7          11
554            5          14
555            6          12
556            7          10
561            6           7
562            7           8
563            8           9
564            6          12
565            7          10
566            8           8
611            5           4
612            6           5
613            7           6
614            5           9
615            6           7
616            7           5
621            6           5
622            7           6
623            8           7
624            6          10
625            7           8
626            8           6
631            7           6
632            8           7
633            9           8
634            7          11
635            8           9
636            9           7
641            5           9
642            6          10
643            7          11
644            5          14
645            6          12
646            7          10
651            6           7
652            7           8
653            8           9
654            6          12
655            7          10
656            8           8
661            7           5
662            8           6
663            9           7
664            7          10
665            8           8
666            9           6

216 rows selected.

Array_Recurse
old   2:   FROM Item_Seqs.Array_Recurse(p_seq_type => '&SEQ_TP')
new   2:   FROM Item_Seqs.Array_Recurse(p_seq_type => 'MP')
old   3:  WHERE lev = &SEQ_SIZE
new   3:  WHERE lev = 3

Path Total Price Total Value
---- ----------- -----------
111            3           3
112            4           4
113            5           5
114            3           8
115            4           6
116            5           4
121            4           4
122            5           5
123            6           6
124            4           9
125            5           7
126            6           5
131            5           5
132            6           6
133            7           7
134            5          10
135            6           8
136            7           6
141            3           8
142            4           9
143            5          10
144            3          13
145            4          11
146            5           9
151            4           6
152            5           7
153            6           8
154            4          11
155            5           9
156            6           7
161            5           4
162            6           5
163            7           6
164            5           9
165            6           7
166            7           5
211            4           4
212            5           5
213            6           6
214            4           9
215            5           7
216            6           5
221            5           5
222            6           6
223            7           7
224            5          10
225            6           8
226            7           6
231            6           6
232            7           7
233            8           8
234            6          11
235            7           9
236            8           7
241            4           9
242            5          10
243            6          11
244            4          14
245            5          12
246            6          10
251            5           7
252            6           8
253            7           9
254            5          12
255            6          10
256            7           8
261            6           5
262            7           6
263            8           7
264            6          10
265            7           8
266            8           6
311            5           5
312            6           6
313            7           7
314            5          10
315            6           8
316            7           6
321            6           6
322            7           7
323            8           8
324            6          11
325            7           9
326            8           7
331            7           7
332            8           8
333            9           9
334            7          12
335            8          10
336            9           8
341            5          10
342            6          11
343            7          12
344            5          15
345            6          13
346            7          11
351            6           8
352            7           9
353            8          10
354            6          13
355            7          11
356            8           9
361            7           6
362            8           7
363            9           8
364            7          11
365            8           9
366            9           7
411            3           8
412            4           9
413            5          10
414            3          13
415            4          11
416            5           9
421            4           9
422            5          10
423            6          11
424            4          14
425            5          12
426            6          10
431            5          10
432            6          11
433            7          12
434            5          15
435            6          13
436            7          11
441            3          13
442            4          14
443            5          15
444            3          18
445            4          16
446            5          14
451            4          11
452            5          12
453            6          13
454            4          16
455            5          14
456            6          12
461            5           9
462            6          10
463            7          11
464            5          14
465            6          12
466            7          10
511            4           6
512            5           7
513            6           8
514            4          11
515            5           9
516            6           7
521            5           7
522            6           8
523            7           9
524            5          12
525            6          10
526            7           8
531            6           8
532            7           9
533            8          10
534            6          13
535            7          11
536            8           9
541            4          11
542            5          12
543            6          13
544            4          16
545            5          14
546            6          12
551            5           9
552            6          10
553            7          11
554            5          14
555            6          12
556            7          10
561            6           7
562            7           8
563            8           9
564            6          12
565            7          10
566            8           8
611            5           4
612            6           5
613            7           6
614            5           9
615            6           7
616            7           5
621            6           5
622            7           6
623            8           7
624            6          10
625            7           8
626            8           6
631            7           6
632            8           7
633            9           8
634            7          11
635            8           9
636            9           7
641            5           9
642            6          10
643            7          11
644            5          14
645            6          12
646            7          10
651            6           7
652            7           8
653            8           9
654            6          12
655            7          10
656            8           8
661            7           5
662            8           6
663            9           7
664            7          10
665            8           8
666            9           6

216 rows selected.

item_seqs_rsf_v
old  13:                     p_seq_type       => '&SEQ_TP',
new  13:                     p_seq_type       => 'MP',
old  17:        AND trw.lev < &SEQ_SIZE
new  17:        AND trw.lev < 3
old  21:  WHERE lev = &SEQ_SIZE
new  21:  WHERE lev = 3

Path Total Price Total Value
---- ----------- -----------
111            3           3
112            4           4
113            5           5
114            3           8
115            4           6
116            5           4
121            4           4
122            5           5
123            6           6
124            4           9
125            5           7
126            6           5
131            5           5
132            6           6
133            7           7
134            5          10
135            6           8
136            7           6
141            3           8
142            4           9
143            5          10
144            3          13
145            4          11
146            5           9
151            4           6
152            5           7
153            6           8
154            4          11
155            5           9
156            6           7
161            5           4
162            6           5
163            7           6
164            5           9
165            6           7
166            7           5
211            4           4
212            5           5
213            6           6
214            4           9
215            5           7
216            6           5
221            5           5
222            6           6
223            7           7
224            5          10
225            6           8
226            7           6
231            6           6
232            7           7
233            8           8
234            6          11
235            7           9
236            8           7
241            4           9
242            5          10
243            6          11
244            4          14
245            5          12
246            6          10
251            5           7
252            6           8
253            7           9
254            5          12
255            6          10
256            7           8
261            6           5
262            7           6
263            8           7
264            6          10
265            7           8
266            8           6
311            5           5
312            6           6
313            7           7
314            5          10
315            6           8
316            7           6
321            6           6
322            7           7
323            8           8
324            6          11
325            7           9
326            8           7
331            7           7
332            8           8
333            9           9
334            7          12
335            8          10
336            9           8
341            5          10
342            6          11
343            7          12
344            5          15
345            6          13
346            7          11
351            6           8
352            7           9
353            8          10
354            6          13
355            7          11
356            8           9
361            7           6
362            8           7
363            9           8
364            7          11
365            8           9
366            9           7
411            3           8
412            4           9
413            5          10
414            3          13
415            4          11
416            5           9
421            4           9
422            5          10
423            6          11
424            4          14
425            5          12
426            6          10
431            5          10
432            6          11
433            7          12
434            5          15
435            6          13
436            7          11
441            3          13
442            4          14
443            5          15
444            3          18
445            4          16
446            5          14
451            4          11
452            5          12
453            6          13
454            4          16
455            5          14
456            6          12
461            5           9
462            6          10
463            7          11
464            5          14
465            6          12
466            7          10
511            4           6
512            5           7
513            6           8
514            4          11
515            5           9
516            6           7
521            5           7
522            6           8
523            7           9
524            5          12
525            6          10
526            7           8
531            6           8
532            7           9
533            8          10
534            6          13
535            7          11
536            8           9
541            4          11
542            5          12
543            6          13
544            4          16
545            5          14
546            6          12
551            5           9
552            6          10
553            7          11
554            5          14
555            6          12
556            7          10
561            6           7
562            7           8
563            8           9
564            6          12
565            7          10
566            8           8
611            5           4
612            6           5
613            7           6
614            5           9
615            6           7
616            7           5
621            6           5
622            7           6
623            8           7
624            6          10
625            7           8
626            8           6
631            7           6
632            8           7
633            9           8
634            7          11
635            8           9
636            9           7
641            5           9
642            6          10
643            7          11
644            5          14
645            6          12
646            7          10
651            6           7
652            7           8
653            8           9
654            6          12
655            7          10
656            8           8
661            7           5
662            8           6
663            9           7
664            7          10
665            8           8
666            9           6

216 rows selected.


'END:'||TO_CHAR(SYSDATE,'DD-MON-YY
----------------------------------
End: 09-JUN-2024 23:04:52

